"Parent2Name","Parent1Name","Now_Parent1Reference","CustomerName","Now_Reference","ComputerName","DeviceName","DeviceId","Now_Product.OsType","Now_Physicality","PhysicalServer","VirtualServer","Workstation","Documents","RecoveryTesting","O365Users","CustomerState","CreationDate","ProductionDate","DeviceDeletionDate","SelectedSizeGb","UsedStorageGb"
,"Cubics","CUB","Verschuren Interieurbouw",,"VER-HKA-HYP002","ver-hka-hyp002","3754196",,"Physical","1",,,,,,"InProduction","12/15/2021 12:00:00 AM","3/22/2018 12:00:00 AM","12/13/2022 12:00:00 AM","0","8456.07"
,"Cubics","CUB","Verschuren Interieurbouw",,"VER-HKA-HYP001","ver-hka-hyp001","613047",,"Physical","1",,,,,,"InProduction","4/3/2018 12:00:00 AM","3/22/2018 12:00:00 AM","12/13/2022 12:00:00 AM","0","5484.93"
,"Cubics","CUB","Speeltuinwerk Limburg","SWL","SERVER2012","server2012","688166",,"Physical","1",,,,,,"InProduction","9/21/2018 12:00:00 AM","9/21/2018 12:00:00 AM","","83.31","81.63"
,"Cubics","CUB","FRMWRK","FRM","SERVER","server.frmwrk.local","688847",,"Virtual",,"1",,,,,"InProduction","9/24/2018 12:00:00 AM","10/24/2018 12:00:00 AM","","199.68","658.51"
,"Cubics","CUB","Industriele Veiling Eindhoven","IVE","IVEK","ivek","698249",,"Physical",,,"1",,,,"InProduction","10/12/2018 12:00:00 AM","10/12/2018 12:00:00 AM","","44.56","64.29"
,"Cubics","CUB","A.J. Real Estate B.V.","AJH","HYPERV03","aji-hka-hyp003","3404579",,"Physical","1",,,,,,"InProduction","11/17/2020 12:00:00 AM","12/5/2018 12:00:00 AM","","1662.91","7710.28"
,"Cubics","CUB","A.J. Real Estate B.V.","AJH","HYPERV02","aji-hka-hyp002","719338",,"Physical","1",,,,,,"InProduction","11/28/2018 12:00:00 AM","12/5/2018 12:00:00 AM","","1027.49","5045.74"
,"Cubics","CUB","A.J. Real Estate B.V.","AJH","HYPERV01","aji-hka-hyp001","709047",,"Physical","1",,,,,,"InProduction","11/5/2018 12:00:00 AM","12/5/2018 12:00:00 AM","","1438.95","11716.88"
,"Cubics","CUB","van Orsouw kunststoffen","VOK","JAV17485","jav17485","736203",,"Physical",,,"1",,,,"InProduction","1/7/2019 12:00:00 AM","2/7/2019 12:00:00 AM","","2.97","2.47"
,"Cubics","CUB","Knaapen Facilities BV","KNA","KNA-HKA-FS01","kna-hka-fs01","974563",,"Virtual",,"1",,,,,"InProduction","8/15/2019 12:00:00 AM","4/21/2019 12:00:00 AM","","3813.58","2848.45"
,"Cubics","CUB","Knaapen Facilities BV","KNA","KNA-HKA-HYP01","kna-hka-hyp01","960832",,"Physical","1",,,,,,"InProduction","8/6/2019 12:00:00 AM","4/21/2019 12:00:00 AM","","7820.65","55087.26"
,"Cubics","CUB","Alument BV","ALU","ALU-HKA-HYP001","alu-hka-hyp001","1004122",,"Physical","1",,,,,,"InProduction","9/3/2019 12:00:00 AM","10/3/2019 12:00:00 AM","","2145.73","3939.9"
,"Cubics","CUB","The Steel Company","TSC","TSC-HKA-HYP01","tsc-hka-hyp01","1025494",,"Physical","1",,,,,,"InProduction","9/13/2019 12:00:00 AM","10/13/2019 12:00:00 AM","","1157.94","3905.86"
,"Cubics","CUB","Dorina (Hoplun Benelux B.V.)","DOR","DOR-HKA-HYP001","dor-hka-hyp001","1038295",,"Physical","1",,,,,,"InProduction","9/20/2019 12:00:00 AM","10/20/2019 12:00:00 AM","","2534.33","4859.25"
,"Cubics","CUB","Van Wijnen","VWI","VWI-BUN-HYP01","vwi-bun-hyp01","1069093",,"Physical","1",,,,,,"InProduction","10/9/2019 12:00:00 AM","11/9/2019 12:00:00 AM","","445.06","634.29"
,"Cubics","CUB","Dutch Accounting House","DAC","DAC-HKA-HYP01","dac-hka-hyp01","1107259",,"Physical","1",,,,,,"InProduction","10/31/2019 12:00:00 AM","11/23/2019 12:00:00 AM","","1613.89","10064.62"
,"Cubics","CUB","Roxal BV","ROX","PH-HV01","ph-hv01_4gxhq","2954782",,"Physical","1",,,,,,"InProduction","3/2/2020 12:00:00 AM","4/1/2020 12:00:00 AM","","1545.02","5953.62"
,"Cubics","CUB","Mitari Hijstechniek Best BV","MIT","MIT-HKA-HYP01","mit-hka-hyp01_63y60","3381502",,"Physical","1",,,,,,"InProduction","10/22/2020 12:00:00 AM","7/15/2020 12:00:00 AM","","5208.75","7551.45"
,"Cubics","CUB","Mitari Hijstechniek Best BV","MIT","MIT-HKA-HYP02","mit-hka-hyp02_j0jqv","3370554",,"Physical","1",,,,,,"InProduction","10/9/2020 12:00:00 AM","7/15/2020 12:00:00 AM","","2620.77","2349.36"
,"Cubics","CUB","Gremium B.V.","GMM","* M365 - gremiumbv.onmicrosoft.com","gremiumbv.onmicrosoft.com","3246766",,"Cloud",,,,,,"1","InProduction","6/16/2020 12:00:00 AM","7/17/2020 12:00:00 AM","","1888.79","336.46"
,"Cubics","CUB","Md2W","MD2","* M365 - md2wbv.onmicrosoft.com","md2wbv.onmicrosoft.com","3337813",,"Cloud",,,,,,"2","InProduction","9/1/2020 12:00:00 AM","10/2/2020 12:00:00 AM","","366.03","281.96"
,"Cubics","CUB","MasterShip","MAS","MAS-HKA-HYP002","mas-hka-hyp002","3683711",,"Physical","1",,,,,,"InProduction","10/4/2021 12:00:00 AM","10/16/2020 12:00:00 AM","","1517.24","2294.83"
,"Cubics","CUB","PSR-Sotelem","PSR","JAV14350","jav14350","3354190",,"Physical",,,"1",,,,"InProduction","9/21/2020 12:00:00 AM","10/22/2020 12:00:00 AM","","60.25","39.77"
,"Cubics","CUB","Sofa B.V.","SOF","SOF-HKA-APP02","sof-hka-app02_o1oyc","3386021",,"Virtual",,"1",,,,,"InProduction","10/28/2020 12:00:00 AM","11/28/2020 12:00:00 AM","","99.16","115.69"
